"","date","iso3c","country","gdp_per_cap","pop_size","sec_enrol","mort","democracy"
"111","2013","UGA","Uganda",819.757867445612,35273570,27.941535949707,62.5,0
"112","2012","UGA","Uganda",796.711139328563,34273295,26.3582897186279,66.7,0
"113","2011","UGA","Uganda",837.095884319153,33295738,26.3085136413574,71.6,0
"114","2010","UGA","Uganda",824.737671173843,32341728,27.3719596862793,76.4,0
"115","2009","UGA","Uganda",799.929632084631,31412520,NA,81.7,0
"116","2008","UGA","Uganda",473.302833574496,30509862,NA,87,0
"117","2007","UGA","Uganda",401.709187704745,29629804,24.6403293609619,93.1,0
"118","2006","UGA","Uganda",346.768462407263,28773227,NA,99.8,0
"119","2005","UGA","Uganda",330.60285429056,27946588,NA,107.2,0
"120","2004","UGA","Uganda",292.472665611955,27146084,19.3705902099609,115.2,0
"121","2003","UGA","Uganda",250.690588357599,26354736,NA,123.5,0
"122","2002","UGA","Uganda",241.86893022857,25545090,NA,131.6,0
"123","2001","UGA","Uganda",235.852974855859,24763325,NA,139.3,0
"124","2000","UGA","Uganda",257.829605739453,24020697,NA,146.1,0
"125","2001","AFG","Afghanistan",NA,19688632,12.3246202468872,125.3,0
"126","2000","AFG","Afghanistan",NA,19542982,NA,129.3,0
